Taxpayer Number,Taxpayer Name,Taxpayer Address,Taxpayer City,Taxpayer State,Taxpayer Zip Code,Taxpayer County,Outlet Number,Location Name,Location Address,Location City,Location State,Location Zip Code,Location County,Location Room Capacity,Location Tot Room Receipts,Location Taxable Receipts
17706933128,"ACK HOTELS, LP                                    ","6861 W US HIGHWAY 90                    ","SAN ANTONIO         ","TX","78227",015,00001,"ACK HOTELS LP                                     ","6861 W US HIGHWAY 90                    ","SAN ANTONIO         ","TX","78227",015,   93,     60849.73,     60849.73
32025171573,"TAMMY J SIKES                                     ","709 W MAIN ST                           ","FREDERICKSBRG       ","TX","78624",086,00065,"ACORN B&B (STEPHANIE TUCKER)                      ","209 N ACORN ST                          ","FREDERICKSBURG      ","TX","78624",086,    1,      2110.00,      2110.00
12023601276,"BACKROADS TEXAS, LLC                              ","PO BOX 967                              ","BANDERA             ","TX","78003",010,00057,"ACORN BED AND BREAKFAST                           ","107 STATE HIGHWAY 46 W                  ","BOERNE              ","TX","78006",130,    1,         0.00,         0.00
32025171573,"TAMMY J SIKES                                     ","709 W MAIN ST                           ","FREDERICKSBRG       ","TX","78624",086,00118,"ACORN COTTAGE                                     ","416 N ACORN ST                          ","FREDERICKSBURG      ","TX","78624",086,    1,      1404.00,      1404.00
12016756319,"GOURMET HOLDINGS OF FREDERICKSBURG, L.P.          ","108 N ACORN ST                          ","FREDERICKSBRG       ","TX","78624",086,00020,"ACROSS THE WAY                                    ","211 W TRAVIS ST                         ","FREDERICKSBURG      ","TX","78624",086,    4,      6960.00,      6960.00
32016658448,"SIDNEY CORINNE LOCK                               ","4300 AVENUE G                           ","AUSTIN              ","TX","78751",227,00005,"ADAMS HOUSE BED & BREAKFAST                       ","4300 AVENUE G                           ","AUSTIN              ","TX","78751",227,    3,     15734.00,     15436.00
32025171573,"TAMMY J SIKES                                     ","709 W MAIN ST                           ","FREDERICKSBRG       ","TX","78624",086,00015,"ADAMS/TRAVIS (PAM BERGMAN)                        ","303 N ADAMS ST                          ","FREDERICKSBURG      ","TX","78624",086,    1,      4871.00,      4871.00
18611022726,"VNC, INC.                                         ","4005 BELT LINE RD                       ","ADDISON             ","TX","75001",057,00001,"ADDISON INN                                       ","4005 BELT LINE RD                       ","ADDISON             ","TX","75001",057,   60,     38119.14,     23451.79
12019851414,"CC RELIABLE BUSINESS SERVICES, INC.               ","PO BOX 181295                           ","CORPUS CHRISTI      ","TX","78480",178,00102,"ADH825.221                                        ","14825 WINDWARD DR APT 221               ","CORPUS CHRISTI      ","TX","78418",178,    1,         0.00,         0.00
32056591244,"ADMIRAL HOTEL GROUP, LLC                          ","1200 W WALNUT HILL LN STE 2250          ","IRVING              ","TX","75038",057,00001,"ADMIRAL HOTEL                                     ","1507 N WATSON RD                        ","ARLINGTON           ","TX","76006",220,  237,      1888.43,      1888.43
32024760251,"GALVESTON ISLAND REAL ESTATE, L.L.C.              ","16602 TERMINI SAN LUIS PASS RD          ","GALVESTON           ","TX","77554",084,00072,"ADMIRALS LOOKOUT                                  ","11610 BEACHSIDE                         ","GALVESTON           ","TX","77554",084,    1,      5342.13,      5342.13
32038271337,"PORT ARANSAS ESCAPES LLC                          ","1900 STATE HIGHWAY 361                  ","PORT ARANSAS        ","TX","78373",178,00102,"ADMIRALS QUARTERS 103PB                           ","2212 STATE HIGHWAY 361 UNIT 103         ","PORT ARANSAS        ","TX","78373",178,    1,       393.75,       393.75
32037291005,"RANA INC.                                         ","1591 FM 1110                            ","CLINT               ","TX","79836",071,00001,"ADOBE INN MOTEL                                   ","1591 FM 1110 RD                         ","CLINT               ","TX","79836",071,   21,     17414.00,     11904.00
32055394038,"ANDERVANT OPERATIONS LLC                          ","13600 RANCH ROAD 12 STE B               ","WIMBERLEY           ","TX","78676",105,00070,"ADOBE RIVER SANCTUARY                             ","200 SOUTHRIVER                          ","WIMBERLEY           ","TX","78676",105,    1,         0.00,         0.00
14504716219,"CRESCENT HOTELS & RESORTS LLC                     ","10306 EATON PL STE 430                  ","FAIRFAX             ","VA","22030",000,00005,"ADOLPHUS                                          ","1321 COMMERCE ST                        ","DALLAS              ","TX","75202",057,  422,    415277.00,    410331.00
13201386706,"JAIROSH ENTERPRISES, INC.                         ","804 W INTERSTATE 20                     ","BIG SPRING          ","TX","79720",114,00001,"ADVANTAGE INN & SUITES                            ","804 W INTERSTATE 20                     ","BIG SPRING          ","TX","79720",114,   52,     35424.53,     15170.53
12019851414,"CC RELIABLE BUSINESS SERVICES, INC.               ","PO BOX 181295                           ","CORPUS CHRISTI      ","TX","78480",178,00141,"ADV300.119                                        ","14300 ALOHA ST APT 119                  ","CORPUS CHRISTI      ","TX","78418",178,    1,         0.00,         0.00
32016093760,"DEBBIE A GREGORY                                  ","834 MITCHELL ST                         ","GONZALES            ","TX","78629",089,00004,"AFFINITY RETREAT                                  ","2000 PUMP STATION RD                    ","WIMBERLEY           ","TX","78676",105,    1,      2570.00,      2570.00
